# label | correct answer | distractor 1 | distractor 2 | distractor 3 | explanation
The scientific name of bread wheat|Triticum aestivum|Mangifera indica|Musca domestica|Panthera leo|Triticum aestivum names bread wheat.
The genus of bread wheat|Triticum|Poaceae|Monocotyledonae|Angiospermae|Triticum is wheat's genus; the other options are higher taxa.
The family of wheat|Poaceae|Anacardiaceae|Felidae|Muscidae|Wheat belongs to the grass family Poaceae.
The order assigned to wheat in the NCERT example table|Poales|Sapindales|Diptera|Carnivora|The table groups wheat in Poales above Poaceae.
The class assigned to wheat in the NCERT example table|Monocotyledonae|Dicotyledonae|Mammalia|Insecta|Wheat is a monocotyledonous angiosperm.
The scientific name of mango|Mangifera indica|Triticum aestivum|Musca domestica|Homo sapiens|Mangifera indica is the mango binomial.
The family of mango|Anacardiaceae|Poaceae|Hominidae|Muscidae|Mango is placed in Anacardiaceae.
The order assigned to mango in the NCERT example table|Sapindales|Poales|Primata|Diptera|The chapter's table assigns mango to Sapindales.
The class assigned to mango in the NCERT example table|Dicotyledonae|Monocotyledonae|Insecta|Mammalia|The table uses the traditional dicot class for mango.
The lowest shared category of mango and wheat in the chapter's example table|Division Angiospermae|Family Poaceae|Genus Mangifera|Order Poales|The table assigns them different classes but the same angiosperm division.
The genus shared by lion, tiger and leopard|Panthera|Felis|Canis|Homo|Panthera leo, Panthera tigris and Panthera pardus share the generic name.
The family shared by Panthera and Felis|Felidae|Canidae|Hominidae|Muscidae|Both genera are cats and are placed in Felidae.
The order shared by Felidae and Canidae|Carnivora|Primata|Diptera|Poales|Cats and dogs belong to different families within Carnivora.
The genus shared by potato and brinjal in the chapter's examples|Solanum|Panthera|Mangifera|Triticum|Solanum tuberosum and Solanum melongena are examples of congeneric species.
The specific epithet in Solanum tuberosum|tuberosum|Solanum|Solanaceae|Plantae|The second word tuberosum is the specific epithet and begins with a lowercase letter.
The family containing Solanum, Petunia and Datura|Solanaceae|Poaceae|Anacardiaceae|Muscidae|These distinct genera share the family Solanaceae.
The class shared by the human and the lion|Mammalia|Insecta|Aves|Monocotyledonae|Humans and lions belong to different orders but both are mammals.
The number of pairs of legs characteristically used to recognise adult insects|Three|Two|Four|Five|Six legs arranged in three pairs are a characteristic insect feature.
The minimum evidence needed to place an unknown specimen in a taxonomic group|Its diagnostic characters|Its purchase price|Its owner's name|The colour of its storage box|Taxonomic placement depends on relevant biological characters rather than arbitrary labels.
The study input that extends taxonomy beyond outward appearance|Internal structure and development|Common name length only|Collection date alone|Market value|Modern taxonomy uses cellular, internal, developmental and ecological information.
The early basis of many human classifications of organisms|Use for food, clothing or shelter|DNA sequencing|Electron microscopy|Radiometric dating|Practical human needs motivated early grouping of organisms.
The biological species concept's key criterion for natural populations|Interbreeding with reproductive isolation from other groups|Identical colour in all individuals|Occupation of one continent only|Equal body mass|The biological species concept emphasises gene exchange within a species and isolation between species.
A limitation of applying the biological species concept directly|It is difficult to test for fossils and asexual organisms|It requires all organisms to be plants|It defines species solely by size|It excludes all living animals|Breeding cannot be observed in fossils and is not applicable in the same way to asexual lineages.
The scientist prominently associated with the biological species concept|Ernst Mayr|Dmitri Mendeleev|James Joule|Robert Boyle|Mayr developed and promoted the biological species concept.
The appropriate conclusion when two binomials share only the epithet indica|Their genera must still be checked|They must name one species|They must share one family|They must be varieties of mango|An epithet alone does not uniquely identify a species across genera.
The correct interpretation of Panthera leo and Panthera tigris|Different species in one genus|One species in different genera|Different kingdoms|One family name and one order name|Their common first word indicates a shared genus; their epithets distinguish species.
The correct interpretation of Solanum and Solanaceae|Genus and family, respectively|Family and genus, respectively|Two species|Two kingdoms|Solanum is nested in the family Solanaceae.
The best reason a genus name alone is insufficient to specify a species|A genus may include several species|A genus is always an individual|A genus has no taxonomic meaning|A genus is always a kingdom|A specific epithet is needed because the genus can contain multiple species.
The rank with the greatest similarity among its members in the conventional hierarchy|Species|Family|Class|Kingdom|The lowest principal category groups organisms sharing the most detailed similarities.
The meaning of biodiversity at the organismal level discussed in this chapter|Variety of living organisms|Number of rocks in a habitat|Amount of rainfall only|Temperature range alone|Biodiversity includes the variety of organisms rather than abiotic conditions alone.
The appropriate handling of an unfamiliar organism before assigning it a name|Characterise and identify it carefully|Choose any unused common word immediately|Ignore its structure|Assume habitat determines species|Reliable naming depends on knowing which organism the name represents.
The relation between species and a specimen|A specimen is an individual representative; species is a taxonomic group|A species is always one preserved individual|Specimen is a rank above kingdom|Species and specimen are interchangeable ranks|Many individual specimens can represent one species.
The effect of adding a newly recognised species to an existing genus|The genus includes another species|The genus automatically becomes a kingdom|All existing species change phylum|The family must disappear|Recognising a species changes genus membership without automatically changing higher ranks.
The appropriate inference from similar appearance alone|Additional characters may be needed for identification|The organisms certainly interbreed|The organisms must be one species|The organisms cannot be related|Superficial similarity is useful but may not establish identity or reproductive compatibility.
The principal function of a taxonomic key|Identification through alternative character choices|Measurement of metabolic rate|Determination of food energy|Prediction of rainfall|Keys lead a user through contrasting diagnostic traits to an identification.
A paired set of alternatives in a dichotomous key|Couplet|Capsule|Codon|Calyx|A dichotomous key presents two contrasting choices as a couplet.
An individual alternative within a taxonomic key couplet|Lead|Leaflet|Locus|Lineage|Each statement offered as one choice in a couplet is called a lead.
The resource designed to maintain living plant collections for study|Botanical garden|Herbarium sheet|Insect box|Museum spirit jar|A botanical garden cultivates labelled living plants.
The useful information on a herbarium label|Collection locality, date and scientific identification|Only the price of the paper|Only the collector's height|Only the colour of the folder|Collection data and identification connect a preserved specimen to its origin and taxonomic identity.
